date,open,high,low,close,adj_close,volume
1996-01-01 00:00:00+05:30,7.319124221801758,7.358397006988525,7.270925045013428,7.345901012420654,3.35359263420105,104121369
1996-01-02 00:00:00+05:30,7.328050136566162,7.363752841949463,7.235221862792969,7.28877592086792,3.3275129795074463,168743308
1996-01-03 00:00:00+05:30,7.40838098526001,7.74577522277832,7.328050136566162,7.3441162109375,3.352778196334839,209323879
1996-01-04 00:00:00+05:30,7.2744951248168945,7.297701835632324,7.178096771240234,7.276279926300049,3.3218092918395996,216900264
1996-01-05 00:00:00+05:30,7.24771785736084,7.24771785736084,7.163815975189209,7.2262959480285645,3.2989895343780518,166708467
1996-01-08 00:00:00+05:30,7.212015151977539,7.21737003326416,6.865694999694824,6.937100887298584,3.1669650077819824,186974245
1996-01-09 00:00:00+05:30,6.731809139251709,6.854983806610107,6.506879806518555,6.73716402053833,3.075688600540161,388766555
1996-01-10 00:00:00+05:30,6.605062961578369,6.763940811157227,6.533657073974609,6.564003944396973,2.9966371059417725,276606655
1996-01-11 00:00:00+05:30,6.49795389175415,6.8014302253723145,6.489027976989746,6.769297122955322,3.090358257293701,409645726
1996-01-12 00:00:00+05:30,6.819281101226807,6.871050834655762,6.653262138366699,6.6978912353515625,3.0577590465545654,374687924
1996-01-15 00:00:00+05:30,6.678254127502441,6.712172031402588,6.590782165527344,6.628270149230957,3.0259757041931152,199981539
1996-01-16 00:00:00+05:30,6.605062961578369,6.676468849182129,6.583641052246094,6.640766143798828,3.0316803455352783,217247573
1996-01-17 00:00:00+05:30,6.605062961578369,6.613988876342773,6.321224212646484,6.37656307220459,2.911064386367798,299629901
1996-01-18 00:00:00+05:30,6.214115142822266,6.315867900848389,6.133782863616943,6.199832916259766,2.8303825855255127,377502810
1996-01-19 00:00:00+05:30,6.1141462326049805,6.190907955169678,6.0498809814453125,6.090939044952393,2.780669927597046,324535340
1996-01-22 00:00:00+05:30,6.110576152801514,6.274809837341309,6.105219841003418,6.1944780349731445,2.8279378414154053,338613971
1996-01-23 00:00:00+05:30,6.21589994430542,6.242677211761475,5.605378150939941,5.932061195373535,2.7081375122070312,354919302
1996-01-24 00:00:00+05:30,5.880290985107422,5.915994167327881,5.641080856323242,5.72855281829834,2.61523175239563,351185727
1996-01-25 00:00:00+05:30,5.716056823730469,5.741048812866211,5.453639984130859,5.487557888031006,2.505211591720581,360855771
1996-01-26 00:00:00+05:30,5.487557888031006,5.487557888031006,5.487557888031006,5.487557888031006,2.505211591720581,0
1996-01-29 00:00:00+05:30,5.462564945220947,5.971333980560303,5.428647994995117,5.9195637702941895,2.7024333477020264,652902286
1996-01-30 00:00:00+05:30,6.105219841003418,6.747875213623047,6.015963077545166,6.451539993286133,2.9452931880950928,1061936020
1996-01-31 00:00:00+05:30,6.390844821929932,6.631840229034424,6.149848937988281,6.310513019561768,2.880911350250244,731560842
1996-02-01 00:00:00+05:30,6.248032093048096,6.605062961578369,6.2301812171936035,6.564003944396973,2.9966371059417725,640422958
1996-02-02 00:00:00+05:30,6.738948822021484,7.354826927185059,6.738948822021484,7.276279926300049,3.3218092918395996,818725675
1996-02-05 00:00:00+05:30,7.676154136657715,8.040325164794922,7.4458699226379395,7.881446838378906,3.598083257675171,1222482548
1996-02-06 00:00:00+05:30,8.070672988891602,8.211700439453125,7.0549211502075195,7.220940113067627,3.2965445518493652,1242315590
1996-02-07 00:00:00+05:30,6.821065902709961,7.426232814788818,6.749660015106201,7.354826927185059,3.3576674461364746,895441820
1996-02-08 00:00:00+05:30,7.429802894592285,8.127798080444336,7.354826927185059,7.997481822967529,3.6510558128356934,821653997
1996-02-09 00:00:00+05:30,8.283105850219727,8.640135765075684,8.001051902770996,8.461621284484863,3.862947940826416,994440377
1996-02-12 00:00:00+05:30,8.247403144836426,8.390214920043945,7.818965911865234,7.931430816650391,3.620901584625244,971599188
1996-02-13 00:00:00+05:30,7.854669094085693,8.716897964477539,7.786833763122559,8.408066749572754,3.838498592376709,1019034918
1996-02-14 00:00:00+05:30,8.622284889221191,8.74545955657959,8.349157333374023,8.413421630859375,3.840942621231079,622459505
1996-02-15 00:00:00+05:30,8.211700439453125,8.479473114013672,8.140294075012207,8.279536247253418,3.7798216342926025,699136437
1996-02-16 00:00:00+05:30,8.140294075012207,8.220625877380371,8.070672988891602,8.133152961730957,3.7129933834075928,495646793
1996-02-19 00:00:00+05:30,8.283105850219727,8.397356033325195,8.167071342468262,8.215270042419434,3.750481128692627,518231701
1996-02-20 00:00:00+05:30,8.211700439453125,8.245617866516113,7.676154136657715,7.781477928161621,3.552443742752075,639131752
1996-02-21 00:00:00+05:30,7.781477928161621,7.781477928161621,7.781477928161621,7.781477928161621,3.552443742752075,0
1996-02-22 00:00:00+05:30,7.9617791175842285,8.247403144836426,7.892158031463623,8.192063331604004,3.739886999130249,613558303
1996-02-23 00:00:00+05:30,8.175996780395508,8.19384765625,7.968918800354004,8.104591369628906,3.69995379447937,546094871
1996-02-26 00:00:00+05:30,8.19384765625,8.36343765258789,8.070672988891602,8.122442245483398,3.708104133605957,544960514
1996-02-27 00:00:00+05:30,8.168855667114258,8.211700439453125,7.892158031463623,8.029614448547363,3.6657252311706543,542491536
1996-02-28 00:00:00+05:30,8.18492317199707,8.275964736938477,8.05103588104248,8.068887710571289,3.683654308319092,427826248
1996-02-29 00:00:00+05:30,7.997481822967529,8.026043891906738,7.515491008758545,7.563690185546875,3.453019857406616,697898447
1996-03-01 00:00:00+05:30,7.622600078582764,7.718997955322266,7.4458699226379395,7.606533050537109,3.4725780487060547,723172202
1996-03-04 00:00:00+05:30,7.640450954437256,7.676154136657715,7.440514087677002,7.527987003326416,3.4367191791534424,673407539
1996-03-05 00:00:00+05:30,7.527987003326416,7.527987003326416,7.527987003326416,7.527987003326416,3.4367191791534424,0
1996-03-06 00:00:00+05:30,7.6583027839660645,7.84752893447876,7.5904669761657715,7.795759201049805,3.558962821960449,543855566
1996-03-07 00:00:00+05:30,7.904654026031494,8.042110443115234,7.827891826629639,7.865379810333252,3.590747833251953,854410306
1996-03-08 00:00:00+05:30,7.765411853790283,7.854669094085693,7.667229175567627,7.82432222366333,3.5720036029815674,646827174
1996-03-11 00:00:00+05:30,7.711856842041016,7.872520923614502,7.681509971618652,7.849314212799072,3.5834133625030518,631091821
1996-03-12 00:00:00+05:30,7.836818218231201,8.497323989868164,7.801115036010742,8.252758026123047,3.7675960063934326,803011329
1996-03-13 00:00:00+05:30,8.033185005187988,8.14922046661377,7.935000896453857,8.111730575561523,3.703213930130005,577715422
1996-03-14 00:00:00+05:30,8.104591369628906,8.190278053283691,8.05103588104248,8.109946250915527,3.7023980617523193,597611484
1996-03-15 00:00:00+05:30,8.067103385925293,8.092095375061035,7.783263206481934,7.843958854675293,3.5809686183929443,622444100
1996-03-18 00:00:00+05:30,7.763627052307129,7.783263206481934,7.4583659172058105,7.4869279861450195,3.4179751873016357,667319823
1996-03-19 00:00:00+05:30,7.461935997009277,7.5976080894470215,6.872836112976074,7.0263590812683105,3.2077136039733887,1037292464
1996-03-20 00:00:00+05:30,7.0263590812683105,7.0263590812683105,7.0263590812683105,7.0263590812683105,3.2077136039733887,0
1996-03-21 00:00:00+05:30,7.319124221801758,7.608317852020264,7.319124221801758,7.52977180480957,3.437535285949707,670459612
1996-03-22 00:00:00+05:30,7.388744831085205,7.388744831085205,7.0870537757873535,7.22451114654541,3.2981748580932617,674824785
1996-03-25 00:00:00+05:30,7.317338943481445,7.358397006988525,7.078127861022949,7.181666851043701,3.2786154747009277,457166882
1996-03-26 00:00:00+05:30,7.140608787536621,7.283421039581299,6.908538818359375,7.135252952575684,3.2574262619018555,532380354
1996-03-27 00:00:00+05:30,7.390530109405518,7.495853900909424,7.356612205505371,7.388744831085205,3.3731513023376465,377229724
